unique_identifier,amount,date
5262866,-5000000.00,2025-04-10
369448,7500000.00,2025-04-14
4934028,150000.00,2025-04-24
955823,750000.00,2025-04-01
594327,750000.00,2025-04-07
6225135,500000.00,2025-04-07
3355344,2000302.00,2025-04-11
9326348,-100000.00,2025-04-30
9475007,-1000000.00,2025-04-30
1341530,100000000.00,2025-04-11
8285445,50001.00,2025-04-25
7365335,-150000.00,2025-04-25
9689360,-100000.00,2025-04-03
1104849,200000.00,2025-04-19
4385439,50000000.00,2025-04-17
5829030,2500000.00,2025-04-14
6669492,50000000.00,2025-04-29
