unique_identifier,amount,date
852baf27-0252-480e-a227-63466c69377e,2500000.00,2025-04-08
34cb3f90-b069-473d-8d7c-d9c4413c1acd,-2500000.00,2025-04-12
a2566534-6052-42fe-936c-f24cc8fa7959,250857.00,2025-04-04
0e5859c9-1b93-4e03-a31d-07705d04b57f,-1000000.00,2025-04-09
c3893630-a602-4955-b53e-b98d227027c2,250000.00,2025-04-27
abb93887-6e25-4e87-af45-e3d7f0f32bd1,-50000.00,2025-04-08
27b8f30c-aec3-4a5d-9397-6996008bf8a5,-15000001.00,2025-04-25
a6eac5dd-9cd3-4a0d-9368-4b3fc62ffacd,50000000.00,2025-04-15
ed8c5473-309e-46f9-ab03-8aa363530180,-150000.00,2025-04-08
57b0a97f-8b1b-404a-aaee-8e9c1adf0695,-750000.00,2025-04-26
616e25f4-5c1a-4332-8d56-ad78b902e1a4,500001.00,2025-04-21
4d9e1009-7b8d-4dfe-aebd-287c76d3f9ba,-750000.00,2025-04-06
1c571044-15dc-471e-a46c-692a4660c247,2000000.00,2025-04-24
69ebdba4-643f-4a5c-9a69-a63ce4fdebf0,-15000000.00,2025-04-19
a5f9814b-ad44-4523-bfdc-f325a3c79445,-2000000.00,2025-04-10
dddeae35-7eac-44e1-abc3-ba0d8c6ac778,-20000.00,2025-04-11
5908ad46-34c2-4529-b0d2-d4c8684cd23c,-15000000.00,2025-04-12
83c069c4-d523-42c4-bfee-178f58c50859,250005.00,2025-04-21
