unique_identifier,amount,date
3977330f-d8d3-461c-beea-caf83e4d30a3,-150000.00,2025-04-10
ded13fd9-f171-41c8-8531-e0da4b768c88,-250629.00,2025-04-06
a5dfa387-7ced-4c40-85d3-cd2251935001,-75000.00,2025-04-22
d901e7e9-43a4-4d1c-8e29-0449075af340,1550000.00,2025-04-17
ce6b5e5d-4c9f-44ca-985b-d1694bbf592c,-1500000.00,2025-04-20
b4be23d4-e428-49bf-a363-5abbd5ea5fb6,-10000000.00,2025-04-03
db8cb458-3ba0-496c-91d3-c1005b1c9387,300000.00,2025-04-16
15bafd26-af45-4a5a-8b9a-c2e801dea885,-20000.00,2025-04-29
81906d6a-7a5a-4a2c-94ae-d1ffccadbc18,1000535.00,2025-04-03
8bb6e160-826d-4a35-b106-64831e06e64a,-100000.00,2025-04-13
424fcc77-02c0-4685-ae7f-59ff3ca40321,-1500000.00,2025-04-18
e1f06d99-af06-466b-8ae7-25b026663309,150000.00,2025-04-06
012cfba8-f659-4ff9-b865-edb96ec63025,502000.00,2025-04-25
0bc724cb-cd76-493a-ba4d-5d2e1ceae6fe,75000.00,2025-04-21
db7d8d52-4a82-4cab-a1eb-a3d661d0290b,2000354.00,2025-04-22
f67a1e2f-17fe-4fad-baae-5786eed7189b,1500000.00,2025-04-04
a588f134-eafa-447c-8e51-9ccdb8ff3a21,2500000.00,2025-04-02
3a8a11e0-4222-4ee3-838b-35afbd4e065f,-5000000.00,2025-04-21
3688b3b5-9ea8-44dd-bf38-472cf7e712ab,5000000.00,2025-04-12
4ce95b92-cf3e-4ecb-89f0-e6140a13b194,1000000.00,2025-04-25
f33d8301-d5f2-42aa-9aba-4f8a8216b439,100000.00,2025-04-26
104b6909-423e-4012-9fa4-f115978dbfca,-200000.00,2025-04-21
52c69bb4-4bc7-4c50-9008-7c8a6c80f243,-1000000.00,2025-04-12
7e6a32f3-e00c-46f1-8282-28f53fb7ade6,-50505.00,2025-04-07
90febc30-d2ff-43c6-bd0c-2d650cbaf372,-300000.00,2025-04-05
4ed1929d-48f4-43d6-a285-9e8145dc22cd,100000.00,2025-04-09
732d9f66-4a9b-45e6-a15d-6bcfe2db4c28,75000.00,2025-04-05
3437d1be-e359-4ed8-ba54-e55b8c36dfd2,100010.00,2025-04-20
429b0b16-e39f-4184-a64b-2754de5a73db,1500000.00,2025-04-01
44df3d3d-5a20-48c9-ad48-6a6dffc193f1,-250000.00,2025-04-06
f86164a1-294c-4c5d-ad21-10f659712661,-150000.00,2025-04-24
3cd0018b-a8fd-4729-afee-5fe63f16b101,-5000000.00,2025-04-10
e8ba2107-d58c-4fcf-8783-df955803a4e6,-200000.00,2025-04-06
52b00566-205b-42e7-9a99-d2065154d348,-20000.00,2025-04-12
b4bed0c6-1e51-4c29-9d30-f8220fcbb0c5,10000000.00,2025-04-18
2764fd26-d6cc-468b-b2eb-fbc3dcd1d579,10000.00,2025-04-13
9be11b04-14ec-4f8e-89df-dfe533c8a9a6,150000.00,2025-04-23
e7dc2894-f365-4587-8158-2579be970d11,20000.00,2025-04-13
c64357b7-e4b2-4a44-ba00-ffae430c3e7f,754000.00,2025-04-04
ab8deff3-2f5f-4f63-beb3-f349707e61e7,-50000000.00,2025-04-04
7fab9ffd-eba0-42c2-956f-82673c7e74f6,-7500000.00,2025-04-06
10e3b22a-de85-41e3-9617-a3c62c665634,-15000000.00,2025-04-06
05ba2b98-bdf5-47cc-96fb-8c95d361df8c,-50000916.00,2025-04-08
c17702b3-e358-459f-b7b7-5978c384b6d0,-10000.00,2025-04-26
d54ba262-1b7b-4c97-8aa3-234e5019246c,20000000.00,2025-04-11
a9339aec-8a37-438f-9134-1753f1337883,100000000.00,2025-04-23
d28a19f2-3cd2-4e99-b5e7-1f2dedbfc27a,75000.00,2025-04-23
547edc72-1749-416e-9d5e-7317cd51aaee,-75000.00,2025-04-10
aa47a496-4fa1-49c2-977a-96566642c81f,-750000.00,2025-04-13
6e986ca3-c0d3-45d5-bf7d-1431969ad7d6,-250371.00,2025-04-21
fe6d8cca-1a89-40b4-aa3e-c7766b8e681d,10000316.00,2025-04-28
1e2f537b-7f4b-41fc-867c-d37724ab007a,500000.00,2025-04-05
be8c38d4-942c-4069-b2d3-46f97e7688bf,-2000623.00,2025-04-25
5c943bc4-f725-4ac1-8145-2b145317c464,10000.00,2025-04-30
6f4f6a77-670a-4a85-9257-940930d4e576,-50000000.00,2025-04-01
3efb714e-35ae-4a9a-98d5-ee6d69fd4635,50000.00,2025-04-05
f9281d1a-2c30-4955-ba0a-67176615a060,5000050.00,2025-04-06
edf0992f-4847-4dfd-91b2-46fdbf53cf92,230000.00,2025-04-04
